"potentialBenefits","recommendationTypeId","learnMoreLink.Name","learnMoreLink.Url","publishedToAdvisor","aprlGuid","automationAvailable","description","publishedToLearn","recommendationControl","recommendationResourceType","longDescription","recommendationImpact","tags","pgVerified","recommendationMetadataState","automationAvailableReal"
"Enhanced disaster recovery",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-vmware/move-azure-vmware-solution-across-regions","False","bdac462a-2eda-4a67-887d-46d58f141afe","no","Deploy dual Azure VMware Solution clouds in different regions for disaster recovery","False","Disaster Recovery","Microsoft.AVS/privateClouds","Two Azure VMware Solution private clouds can be deployed in different regions for business continuity, implementing a mesh network topology based on ExpressRoute Gateway Connections and Global Reach Connections.
","High",,"Verified","Active","none"
"Enhanced resilience & connectivity",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-vmware/deploy-vsan-stretched-clusters#deploy-a-stretched-cluster-private-cloud","False","91c84596-1c41-48fe-8d5e-3f817e6a273b","no","Deploy two or more circuits in different peering locations when using stretched clusters","False","High Availability","Microsoft.AVS/privateClouds","Azure VMware Solution vSAN stretched clusters cover 2 Availability Zones plus a third for witness. Use ExpressRoute for added resilience by deploying two circuits in different locations. With Global Reach, create a mesh topology by connecting on-premises circuits to Azure's managed circuits.
","High",,"Verified","Active","none"
"Enhances reliability & avoids failure",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-vmware/configure-dns-azure-vmware-solution#configure-dns-forwarder","False","fcc2e257-23af-4c68-aac8-9cc03033c939","no","Use multiple DNS servers per private FQDN zone","False","High Availability","Microsoft.AVS/privateClouds","Azure VMware Solution private clouds support up to three DNS servers for a single FQDN, preventing a single DNS server from becoming a point of failure. It's crucial to use multiple DNS servers for on-premises FQDN resolution from each private cloud.
","High",,"Preview","Active","none"
"Enhanced circuit resilience for Azure VMware",,"Learn More","https://azure.github.io/Azure-Proactive-Resiliency-Library/services/networking/expressroute-circuits","False","6f573d60-be93-4f18-8016-42e923e3c05e","no","Align ExpressRoute configuration with best practices for circuit resilience","False","High Availability","Microsoft.AVS/privateClouds","Microsoft suggests using two or more ExpressRoute circuits at distinct peering locations for critical workloads. Connect these circuits and your Azure VMware Solutions private clouds using Global Reach.
","High",,"Preview","Active","none"
"Proactive capacity planning",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts","False","29d7a115-dfb6-4df1-9205-04824109548f","no","Monitor when Azure VMware Solution Private Cloud is reaching the capacity limit","False","Monitoring and Alerting","Microsoft.AVS/privateClouds","Set an alert for when the node count in Azure VMware Solution Private Cloud hits or exceeds 90 hosts, enabling timely planning for a new private cloud.
","Medium",,"Verified","Active","none"
"Proactive resource management",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts","False","f86355e3-de7c-4dad-8080-1b0b411e66c8","no","Monitor when Azure VMware Solution Cluster Size is approaching the host limit","False","Monitoring and Alerting","Microsoft.AVS/privateClouds","Alert when the cluster size reaches 14 hosts. Set up periodic alerts for planning new clusters or datastores due to growth, especially from storage needs. Beyond 14 hosts, trigger alerts for each new host addition for proactive resource monitoring.
","Medium",,"Verified","Active","none"
"Avoids host exhaustion & swapping",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts","False","029208c8-5186-4a76-8ee8-6e3445fef4dd","arg","Monitor Memory Utilization to ensure sufficient resources for workloads","False","Monitoring and Alerting","Microsoft.AVS/privateClouds","Ensure sufficient memory resources to prevent host resource exhaustion in Azure VMware Solution. It uses vSphere DRS and vSphere HA for dynamic workload management. Yet, continuous memory use over 95% leads to disk swapping, affecting workloads.
","Medium",,"Verified","Active","arg"
"Avoids resource exhaustion, optimizes performance",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts","False","4ee5d535-c47b-470a-9557-4a3dd297d62f","arg","Monitor CPU Utilization to ensure sufficient resources for workloads","False","Monitoring and Alerting","Microsoft.AVS/privateClouds","Ensure sufficient compute resources to avoid host resource exhaustion in Azure VMware Solution, which utilizes vSphere DRS and HA for dynamic workload resource management. However, sustained CPU utilization over 95% may increase CPU Ready times, impacting workloads.
","Medium",,"Verified","Active","arg"
"99.99% SLA, 0 RPO, Multi-AZ",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-vmware/infrastructure#implement-high-availability","False","9ec5b4c8-3dd8-473a-86ee-3273290331b9","arg","Enable Stretched Clusters for Multi-AZ Availability of the vSAN Datastore","False","High Availability","Microsoft.AVS/privateClouds","For Azure VMware Solution, enabling Stretched Clusters offers 99.99% SLA, synchronous storage replication (RPO=0), and spreads vSAN datastore across two AZs. Must be done at initial setup, needing double quota due to extension across AZs.
","Low",,"Verified","Active","arg"
"Optimized capacity planning for vSAN",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-vmware/configure-alerts-for-azure-vmware-solution#supported-metrics-and-activities","False","4232eb32-3241-4049-9e14-9b8005817b56","arg","Configure Azure Monitor Alert warning thresholds for vSAN datastore utilization","False","Monitoring and Alerting","Microsoft.AVS/privateClouds","Ensure VMware vSAN datastore slack space is maintained for SLA by monitoring storage utilization and setting alerts at 70% and 75% utilization to allow for capacity planning. To expand, add hosts or external storage like Azure Elastic SAN, Azure NetApp Files, if CPU and RAM requirements are met.
","High",,"Verified","Active","arg"
"Faster issue resolution, early detection",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-vmware/monitoring#manage-logs-and-archives","False","fa4ab927-bced-429a-971a-53350de7f14b","no","Configure Syslog in Diagnostic Settings for Azure VMware Solution","False","Monitoring and Alerting","Microsoft.AVS/privateClouds","Ensure Diagnostic Settings are configured for each private cloud to send syslogs to external sources for analysis and/or archiving. Azure VMware Solution Syslogs contain data for troubleshooting and performance, aiding quicker issue resolution and early detection of issues.
","High",,"Verified","Active","none"
"Prevents accidental deletion",,"Learn More","https://learn.microsoft.com/en-us/azure/azure-resource-manager/management/lock-resources","False","a5ef7c05-c611-4842-9af5-11efdc99123a","no","Apply Resource delete lock on the resource group hosting the private cloud","False","Governance","Microsoft.AVS/privateClouds","Applying a resource delete lock to the Azure VMware Solution Private Cloud resource group prevents unauthorized or accidental deletion by anyone with contributor access, ensuring the protection and reliability of the Azure VMware Solution Private Cloud.
","High",,"Verified","Active","none"
"Enhanced cluster reliability",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-vmware/application-platform#use-fault-domains","False","0943aa90-e3db-4c61-aef1-782b6a6a3881","no","Verify vSAN FTT configuration aligns with the cluster size","False","High Availability","Microsoft.AVS/privateClouds","The Azure VMware Solution's service SLA is influenced by vSAN storage policies, which change based on cluster size. For clusters over 6 hosts, an FTT-2 policy (RAID-1 or RAID-6) is advised. FTT refers to the Fault Tolerance feature.
","High",,"Verified","Active","none"
"Ensures business continuity",,"Learn More","https://learn.microsoft.com/azure/reliability/reliability-batch#cross-region-disaster-recovery-and-business-continuity","False","3464854d-6f75-4922-95e4-a2a308b53ce6","no","Monitor Batch Account quota","False","Monitoring and Alerting","Microsoft.Batch/batchAccounts","To ensure cross-region disaster recovery and business continuity, set the right quotas for all Batch accounts to allocate necessary core numbers upfront, preventing execution interruptions from reaching quota limits.
","Medium",,"Preview","Active","none"
"Enhanced reliability & failure protection",,"Learn More","https://learn.microsoft.com/azure/batch/create-pool-availability-zones","False","71cfab8f-d588-4742-b175-b6e07ae48dbd","no","Create an Azure Batch pool across Availability Zones","False","High Availability","Microsoft.Batch/batchAccounts","When using Virtual Machine Configuration for Azure Batch pools, opting to distribute your pool across Availability Zones bolsters your compute nodes against Azure datacenter failures.
","High",,"Preview","Active","none"
"Higher resilience & availability",,"Learn More","https://learn.microsoft.com/azure/azure-cache-for-redis/cache-how-to-zone-redundancy","False","5a44bd30-ae6a-4b81-9b68-dc3a8ffca4d8","arg","Enable zone redundancy for Azure Cache for Redis","False","High Availability","Microsoft.Cache/Redis","Azure Cache for Redis offers zone redundancy in Premium and Enterprise tiers, using VMs across multiple Availability Zones to ensure greater resilience and availability.
","High",,"Preview","Active","arg"
"Optimized network routing and security",,"Learn More","https://learn.microsoft.com/azure/architecture/guide/technology-choices/load-balancing-overview","False","9437634c-d69e-2747-b13e-631c13182150","arg","Avoid combining Traffic Manager and Front Door","False","Business Continuity","Microsoft.Cdn/profiles","For most solutions, choose either Azure Front Door for content caching, CDN, TLS termination, and WAF, or Traffic Manager for simple global load balancing.
","High",,"Verified","Active","arg"
"Enhances security & performance",,"Learn More","https://learn.microsoft.com/azure/frontdoor/origin-security?tabs=app-service-functions&pivots=front-door-standard-premium","False","6c40b7ae-2bea-5748-be1a-9e9e3b834649","no","Restrict traffic to your origins","False","Security","Microsoft.Cdn/profiles","Front Door's features perform optimally when traffic exclusively comes through Front Door. It's advised to set up your origin to deny access to traffic that bypasses Front Door.
","High",,"Verified","Active","none"
"Enhanced security & features",,"Learn More","https://learn.microsoft.com/rest/api/frontdoor/","False","52bc9a7b-23c8-bc4c-9d2a-7bc43b50104a","no","Use the latest API version and SDK version","False","Governance","Microsoft.Cdn/profiles","When working with Azure Front Door through APIs, ARM templates, Bicep, or SDKs, using the latest API or SDK version is crucial. Updates bring new functions, important security patches, and bug fixes.
","Medium",,"Verified","Active","none"
"Enhanced insights and solution monitoring",,"Learn More","https://learn.microsoft.com/azure/frontdoor/front-door-diagnostics?pivots=front-door-standard-premium","False","1ad74c3c-e3d7-0046-b83f-a2199974ef15","no","Configure logs","False","Monitoring and Alerting","Microsoft.Cdn/profiles","Front Door logs offer comprehensive telemetry on each request, crucial for understanding your solution's performance and responses, especially when caching is enabled, as origin servers might not receive every request.
","Medium",,"Verified","Active","none"
"Ensures data encryption in transit",,"Learn More","https://learn.microsoft.com/azure/frontdoor/end-to-end-tls?pivots=front-door-standard-premium","False","d9bd6780-0d6f-cd4c-bc66-8ddcab12f3d1","arg","Use end-to-end TLS","False","Security","Microsoft.Cdn/profiles","Front Door terminates TCP and TLS connections from clients and establishes new connections from each PoP to the origin. Securing these connections with TLS, even for Azure-hosted origins, ensures data is always encrypted during transit.
","High",,"Verified","Active","arg"
"Enhances security and compliance",,"Learn More","https://learn.microsoft.com/azure/frontdoor/front-door-how-to-redirect-https#create-http-to-https-redirect-rule","False","24ab9f11-a3e4-3043-a985-22cf94c4933a","arg","Use HTTP to HTTPS redirection","False","Security","Microsoft.Cdn/profiles","Using HTTPS is ideal for secure connections. However, for compatibility with older clients, HTTP requests may be necessary. Azure Front Door enables auto redirection of HTTP to HTTPS, enhancing security without sacrificing accessibility.
","High",,"Verified","Active","arg"
"Lowers costs, avoids outages",,"Learn More","https://learn.microsoft.com/azure/frontdoor/standard-premium/how-to-configure-https-custom-domain?tabs=powershell","False","29d65c41-2fad-d142-95eb-9eab95f6c0a5","no","Use managed TLS certificates","False","Security","Microsoft.Cdn/profiles","When Front Door manages your TLS certificates, it reduces your operational costs and helps you to avoid costly outages caused by forgetting to renew a certificate. Front Door automatically issues and rotates the managed TLS certificates.
","High",,"Verified","Active","none"
"Saves time & automates TLS updates",,"Learn More","https://learn.microsoft.com/azure/frontdoor/standard-premium/how-to-configure-https-custom-domain?tabs=powershell#select-the-certificate-for-azure-front-door-to-deploy","False","4638c2c0-03de-6d42-9e09-82ee4478cbf3","no","Use latest version for customer-managed certificates","False","Security","Microsoft.Cdn/profiles","If you use your own TLS certificates, set the Key Vault certificate version to 'Latest' to avoid reconfiguring Azure Front Door for new certificate versions and waiting for deployment across Front Door's environments.
","Medium",,"Verified","Active","none"
"Improves session/auth handling",,"Learn More","https://learn.microsoft.com/azure/architecture/best-practices/host-name-preservation","False","cd6a32af-747a-e649-82a7-a98f528ca842","no","Use the same domain name on Front Door and your origin","False","Governance","Microsoft.Cdn/profiles","Front Door can rewrite Host headers for custom domain names routing to a single origin, useful for avoiding custom domain configuration at both Front Door and the origin.
","Medium",,"Verified","Active","none"
"Enhances web app security",,"Learn More","https://learn.microsoft.com/azure/frontdoor/web-application-firewall","False","1bd2b7e8-400f-e64a-99a2-c572f7b08a62","arg","Enable the WAF","False","Security","Microsoft.Cdn/profiles","For internet-facing applications, enabling the Front Door web application firewall (WAF) and configuring it to use managed rules is recommended for protection against a wide range of attacks using Microsoft-managed rules.
","Medium",,"Verified","Active","arg"
"Reduces unnecessary origin traffic",,"Learn More","https://learn.microsoft.com/azure/frontdoor/health-probes","False","38f3d542-6de6-a44b-86c6-97e3be690281","arg","Disable health probes when there is only one origin in an origin group","False","High Availability","Microsoft.Cdn/profiles","Front Door health probes help detect unavailable or unhealthy origins, directing traffic to alternate origins if needed.
","Low",,"Verified","Active","arg"
"Improves traffic routing & uptime",,"Learn More","https://learn.microsoft.com/azure/architecture/patterns/health-endpoint-monitoring","False","5225bba3-28ec-1e43-8986-7eedfd466d65","no","Select good health probe endpoints","False","High Availability","Microsoft.Cdn/profiles","Consider selecting a webpage or location specifically designed for health monitoring as the endpoint for Azure Front Door's health probes. This should encompass the status of critical components like application servers, databases, and caches to serve production traffic efficiently.
","Medium",,"Verified","Active","none"
"Reduces traffic load on origins",,"Learn More","https://learn.microsoft.com/azure/frontdoor/health-probes#supported-http-methods-for-health-probes","False","5783defe-b49e-d947-84f7-d8677593f324","no","Use HEAD health probes","False","Scalability","Microsoft.Cdn/profiles","Health probes in Azure Front Door can use GET or HEAD HTTP methods. Using the HEAD method for health probes is a recommended practice because it reduces the traffic load on your origins, being less resource-intensive.
","Medium",,"Verified","Active","none"
"Enhanced regional access control",,"Learn More","https://learn.microsoft.com/azure/web-application-firewall/afds/waf-front-door-geo-filtering","False","b515690d-3bf9-3a49-8d38-188e0fd45896","no","Use geo-filtering in Azure Front Door","False","Security","Microsoft.Cdn/profiles","Azure Front Door's geo-filtering through WAF enables defining custom access rules by country/region to restrict or allow web app access.
","Medium",,"Verified","Active","none"
"Enhanced security & private connectivity",,"Learn More","https://learn.microsoft.com/azure/frontdoor/private-link","False","1cfe7834-56ec-ff41-b11d-993734705dba","no","Secure your Origin with Private Link in Azure Front Door","False","Security","Microsoft.Cdn/profiles","Azure Private Link enables secure access to Azure PaaS and services over a private endpoint in your virtual network, ensuring traffic goes over the Microsoft backbone network, not the public internet.
","Medium",,"Verified","Active","none"
"Enhances scalability & avoids throttling",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machines/azure-compute-gallery#best-practices","False","b49a39fd-f431-4b61-9062-f2157849d845","arg","A minimum of three replicas should be kept for production image versions","False","High Availability","Microsoft.Compute/galleries","Keeping a minimum of 3 replicas for production images in Azure's Compute Gallery ensures scalability and prevents throttling in multi-VM deployments by distributing VM deployments across different replicas. This reduces the risk of overloading a single replica.
","Medium",,"Verified","Active","arg"
"Enhances image version availability",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machines/azure-compute-gallery#best-practices","False","488dcc8b-f2e3-40ce-bf95-73deb2db095f","arg","Zone redundant storage should be used for image versions","False","High Availability","Microsoft.Compute/galleries","Use ZRS for high availability when creating image/VM versions in Azure Compute Gallery, offering resilience against Availability Zone failures. ZRS accounts are advisable in regions with Availability Zones, with the choice of Standard_ZRS recommended over Standard_LRS for these regions.
","Medium",,"Verified","Active","arg"
"Enhances VM security and features",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machines/azure-compute-gallery#best-practices","False","1c5e1e58-4e56-491c-8529-10f37af9d4ed","arg","Consider creating TrustedLaunchSupported images where possible","False","High Availability","Microsoft.Compute/galleries","We recommend creating Trusted Launch Supported Images for benefits like Secure Boot, vTPM, trusted launch VMs, large boot volume. These are Gen 2 Images by default and you cannot change a VM's generation after creation, so review the considerations first.
","Low",,"Verified","Active","arg"
"Enhanced fault/update resilience",,"Learn More","https://learn.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-orchestration-modes#what-has-changed-with-flexible-orchestration-mode","False","273f6b30-68e0-4241-85ea-acf15ffb60bf","arg","Run production workloads on two or more VMs using VMSS Flex","False","High Availability","Microsoft.Compute/virtualMachines","Production VM workloads should be deployed on multiple VMs and grouped in a VMSS Flex instance to intelligently distribute across the platform, minimizing the impact of platform faults and updates.
","High",,"Verified","Active","arg"
"Enhanced VM resilience to failures",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/create-portal-availability-zone?tabs=standard","False","2bd0be95-a825-6f47-a8c6-3db1fb5eb387","arg","Deploy VMs across Availability Zones","False","High Availability","Microsoft.Compute/virtualMachines","Azure Availability Zones, within each Azure region, are tolerant to local failures, protecting applications and data against unlikely datacenter failures by being physically separate.
","High",,"Verified","Active","arg"
"Enhances reliability & future-proofs VMs",,"Learn More","https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#virtual-machines","False","a8d25876-7951-b646-b4e8-880c9031596b","arg","Migrate VMs using availability sets to VMSS Flex","False","High Availability","Microsoft.Compute/virtualMachines","Availability sets will soon be retired. Migrate workloads from VMs to VMSS Flex for deployment across zones or within the same zone across different fault domains (FDs) and update domains (UD) for better reliability.
","High",,"Verified","Active","arg"
"Minimize downtime in disasters",,"Learn More","https://learn.microsoft.com/azure/architecture/checklist/resiliency-per-service#virtual-machines","False","cfe22a65-b1db-fd41-9e8e-d573922709ae","arg","Replicate VMs using Azure Site Recovery","False","Disaster Recovery","Microsoft.Compute/virtualMachines","Replicating Azure VMs via Site Recovery entails continuous, asynchronous disk replication to a target region. Recovery points are generated every few minutes, ensuring a Recovery Point Objective (RPO) in minutes.
","Medium",,"Verified","Active","arg"
"Avoid retirement disruption, enhance reliability",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/unmanaged-disks-deprecation","False","122d11d7-b91f-8747-a562-f56b79bcfbdc","arg","Use Managed Disks for VM disks","False","High Availability","Microsoft.Compute/virtualMachines","Azure is retiring unmanaged disks on September 30, 2025. Users should plan the migration to avoid disruptions and maintain service reliability.
","High",,"Verified","Active","arg"
"Enhances performance, recovery, migration flexibility",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/managed-disks-overview#data-disk","False","4ea2878f-0d69-8d4a-b715-afc10d1e538e","arg","Host database data on a data disk","False","Scalability","Microsoft.Compute/virtualMachines","A data disk is a managed disk attached to a virtual machine for storing database or other essential data. These disks are SCSI drives labeled as per choice.
","Low",,"Verified","Active","arg"
"Secure data recovery and backup",,"Learn More","https://learn.microsoft.com/azure/backup/backup-overview","False","1981f704-97b9-b645-9c57-33f8ded9261a","arg","Backup VMs with Azure Backup service","False","Disaster Recovery","Microsoft.Compute/virtualMachines","Enable backups for your virtual machines with Azure Backup to secure and quickly recover your data. This service offers simple, secure, and cost-effective solutions for backing up and recovering data from the Microsoft Azure cloud.
","Medium",,"Verified","Active","arg"
"High-performance & reliability for critical apps",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/disks-types#premium-ssd","False","d3f3ee41-b9aa-d34d-b442-5d46d20232b2","arg","Production VMs should be using SSD disks","False","Scalability","Microsoft.Compute/virtualMachines","Premium SSD disks support I/O-intensive apps with high performance, low latency, ideal for production. Standard SSDs offer cost-effective solutions for less critical workloads with consistent performance.
","High",,"Verified","Active","arg"
"Reduce costs by removing unused VMs",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/states-billing?context=%2Ftroubleshoot%2Fazure%2Fvirtual-machines%2Fcontext%2Fcontext#power-states-and-billing","False","98b334c0-8578-6046-9e43-b6e8fce6318e","arg","Review VMs in stopped state","False","Governance","Microsoft.Compute/virtualMachines","Azure Virtual Machines (VM) instances have various states, like provisioning and power states. A non-running VM may indicate issues or it being unnecessary, suggesting removal could help cut costs.
","Low",,"Verified","Active","arg"
"Reduces latency, jitter & CPU use",,"Learn More","https://learn.microsoft.com/azure/virtual-network/accelerated-networking-overview","False","dfedbeb1-1519-fc47-86a5-52f96cf07105","arg","Enable Accelerated Networking (AccelNet)","False","Scalability","Microsoft.Compute/virtualMachines","Accelerated networking enables SR-IOV to a VM, greatly improving its networking performance by bypassing the host from the data path, which reduces latency, jitter, and CPU utilization for demanding network workloads on supported VM types.
","Medium",,"Verified","Active","arg"
"Enhanced VM network efficiency",,"Learn More","https://learn.microsoft.com/azure/virtual-network/accelerated-networking-overview","False","73d1bb04-7d3e-0d47-bc0d-63afe773b5fe","no","When AccelNet is enabled, you must manually update the GuestOS NIC driver","False","Governance","Microsoft.Compute/virtualMachines","When Accelerated Networking is enabled, the default Azure VNet interface in GuestOS is swapped for a Mellanox, and its driver comes from a 3rd party. Marketplace images have the latest Mellanox drivers, but post-deployment, updating the driver is the user's responsibility.
","Low",,"Verified","Active","none"
"Enhanced security and service resiliency",,"Learn More","https://learn.microsoft.com/azure/load-balancer/load-balancer-outbound-connections","False","1f629a30-c9d0-d241-82ee-6f2eb9d42cb4","arg","VMs should not have a Public IP directly associated","False","Security","Microsoft.Compute/virtualMachines","For outbound internet connectivity of Virtual Machines, using NAT Gateway or Azure Firewall is recommended to enhance security and service resilience, thanks to their higher availability and SNAT ports.
","Medium",,"Verified","Active","arg"
"Reduces communication problems",,"Learn More","https://learn.microsoft.com/azure/virtual-network/network-security-group-how-it-works#intra-subnet-traffic","False","82b3cf6b-9ae2-2e44-b193-10793213f676","arg","VM network interfaces and associated subnets both have a Network Security Group (NSG) associated","False","Security","Microsoft.Compute/virtualMachines","Unless you have a specific reason, it's advised to associate a network security group to a subnet or a network interface, but not both, to avoid unexpected communication issues and troubleshooting due to potential rule conflicts between the two associations.
","Low",,"Verified","Active","arg"
"Enhances network appliance function",,"Learn More","https://learn.microsoft.com/azure/virtual-network/virtual-network-network-interface?tabs=network-interface-portal#enable-or-disable-ip-forwarding","False","41a22a5e-5e08-9647-92d0-2ffe9ef1bdad","arg","IP Forwarding should only be enabled for Network Virtual Appliances","False","Security","Microsoft.Compute/virtualMachines","IP forwarding allows a virtual machine network interface to receive and send network traffic not destined for or originating from its assigned IP addresses.
","Medium",,"Verified","Active","arg"
"Ensures DNS consistency",,"Learn More","https://learn.microsoft.com/azure/virtual-network/virtual-networks-name-resolution-for-vms-and-role-instances","False","1cf8fe21-9593-1e4e-966b-779a294c0d30","arg","Customer DNS Servers should be configured in the Virtual Network level","False","Other Best Practices","Microsoft.Compute/virtualMachines","Configure the DNS Server at the Virtual Network level to prevent any inconsistency across the environment.
","Low",,"Verified","Active","arg"
"Enhances clustered server performance",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/disks-shared-enable?tabs=azure-portal","False","3263a64a-c256-de48-9818-afd3cbc55c2a","arg","Shared disks should only be enabled in clustered servers","False","Other Best Practices","Microsoft.Compute/virtualMachines","Azure shared disks let you attach a disk to multiple VMs at once for deploying or migrating clustered applications, suitable only when a disk is shared among VM cluster members.
","Medium",,"Verified","Active","arg"
