WARAinScope,ResourceType,FriendlyName,InAprlAndOrAdvisor
no,microsoft.insights/scheduledqueryrules,Alert Rule,Yes
no,microsoft.insights/scheduledqueryrules/networkSecurityPerimeterAssociationProxies,null,No
no,microsoft.insights/scheduledqueryrules/networkSecurityPerimeterConfigurations,null,No
no,microsoft.insights/components/pricingPlans,null,No
no,microsoft.insights/migrateToNewPricingModel,null,No
no,microsoft.insights/rollbackToLegacyPricingModel,null,No
no,microsoft.insights/listMigrationdate,null,No
no,microsoft.insights/logprofiles,null,No
no,microsoft.insights/migratealertrules,null,No
no,microsoft.insights/metricalerts,Metric Alerts,No
no,microsoft.insights/alertrules,Alert Rule,No
no,microsoft.insights/autoscalesettings,Auto Scale Settings,No
no,microsoft.insights/eventtypes,null,No
no,microsoft.insights/locations,null,No
no,microsoft.insights/locations/operationResults,null,No
no,microsoft.insights/vmInsightsOnboardingStatuses,VM Insights Onboarding,No
no,microsoft.insights/operations,null,No
no,microsoft.insights/diagnosticSettings,Diagnostic Settings,No
no,microsoft.insights/diagnosticSettingsCategories,null,No
no,microsoft.insights/extendedDiagnosticSettings,null,No
no,microsoft.insights/metricDefinitions,null,No
no,microsoft.insights/logDefinitions,null,No
no,microsoft.insights/eventCategories,null,No
no,microsoft.insights/metrics,null,No
no,microsoft.insights/metricbatch,null,No
no,microsoft.insights/metricNamespaces,null,No
no,microsoft.insights/notificationstatus,null,No
no,microsoft.insights/createnotifications,null,No
no,microsoft.insights/tenantactiongroups,null,No
no,microsoft.insights/actiongroups,Action Groups,No
yes,microsoft.insights/activityLogAlerts,Resource Health Alerts,Yes
no,microsoft.insights/metricbaselines,null,No
no,microsoft.insights/workbooks,null,No
no,microsoft.insights/workbooktemplates,null,No
no,microsoft.insights/myWorkbooks,null,No
no,microsoft.insights/logs,null,No
no,microsoft.insights/transactions,null,No
no,microsoft.insights/topology,null,No
no,microsoft.insights/generateLiveToken,null,No
no,microsoft.insights/monitoredObjects,null,No
no,microsoft.insights/dataCollectionRules,null,No
no,microsoft.insights/dataCollectionRuleAssociations,null,No
no,microsoft.insights/dataCollectionEndpoints,null,No
no,microsoft.insights/dataCollectionEndpoints/scopedPrivateLinkProxies,null,No
no,microsoft.insights/actiongroups/networkSecurityPerimeterAssociationProxies,null,No
no,microsoft.insights/actiongroups/networkSecurityPerimeterConfigurations,null,No
no,microsoft.insights/dataCollectionEndpoints/networkSecurityPerimeterAssociationProxies,null,No
no,microsoft.insights/dataCollectionEndpoints/networkSecurityPerimeterConfigurations,null,No
no,microsoft.insights/privateLinkScopes,Private Link Scopes,No
no,microsoft.insights/privateLinkScopes/privateEndpointConnections,null,No
no,microsoft.insights/privateLinkScopes/privateEndpointConnectionProxies,null,No
no,microsoft.insights/privateLinkScopes/scopedResources,null,No
no,microsoft.insights/components/linkedstorageaccounts,null,No
no,microsoft.insights/privateLinkScopeOperationStatuses,null,No
no,microsoft.insights/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null,No
no,Microsoft.AlertsManagement/alerts,Alerts,No
no,Microsoft.AlertsManagement/alertsSummary,null,No
no,Microsoft.AlertsManagement/smartGroups,null,No
no,Microsoft.AlertsManagement/smartDetectorAlertRules,Smart Detector Alert Rules,No
no,Microsoft.AlertsManagement/migrateFromSmartDetection,null,No
no,Microsoft.AlertsManagement/actionRules,Action Rules,No
no,Microsoft.AlertsManagement/alertsMetaData,null,No
no,Microsoft.AlertsManagement/prometheusRuleGroups,null,No
no,Microsoft.AlertsManagement/operations,null,No
no,Microsoft.AlertsManagement/alertRuleRecommendations,null,No
no,Microsoft.AlertsManagement/tenantActivityLogAlerts,null,No
no,Microsoft.AlertsManagement/investigations,null,No
yes,Microsoft.CognitiveServices/accounts,Cognitive Service,Yes
no,Microsoft.CognitiveServices/operations,null,No
no,Microsoft.CognitiveServices/locations/operationResults,null,No
no,Microsoft.CognitiveServices/locations,null,No
no,Microsoft.CognitiveServices/locations/deleteVirtualNetworkOrSubnets,null,No
no,Microsoft.CognitiveServices/locations/checkSkuAvailability,null,No
no,Microsoft.CognitiveServices/checkDomainAvailability,null,No
no,Microsoft.CognitiveServices/accounts/privateLinkResources,null,No
no,Microsoft.CognitiveServices/accounts/privateEndpointConnections,null,No
no,Microsoft.CognitiveServices/accounts/privateEndpointConnectionProxies,null,No
no,Microsoft.CognitiveServices/deletedAccounts,null,No
no,Microsoft.CognitiveServices/locations/resourceGroups,null,No
no,Microsoft.CognitiveServices/locations/resourceGroups/deletedAccounts,null,No
no,Microsoft.CognitiveServices/locations/commitmentTiers,null,No
no,Microsoft.CognitiveServices/locations/models,null,No
no,Microsoft.CognitiveServices/locations/usages,null,No
no,Microsoft.CognitiveServices/locations/raiContentFilters,null,No
no,Microsoft.CognitiveServices/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null,No
no,Microsoft.CognitiveServices/accounts/networkSecurityPerimeterAssociationProxies,null,No
no,Microsoft.CognitiveServices/accounts/encryptionScopes,null,No
no,Microsoft.CognitiveServices/commitmentPlans,null,No
no,Microsoft.CognitiveServices/attestations,null,No
no,Microsoft.CognitiveServices/attestationDefinitions,null,No
no,Microsoft.Blueprint/blueprints,null,No
no,Microsoft.Blueprint/blueprints/artifacts,null,No
no,Microsoft.Blueprint/blueprints/versions,null,No
no,Microsoft.Blueprint/blueprints/versions/artifacts,null,No
no,Microsoft.Blueprint/blueprintAssignments,null,No
no,Microsoft.Blueprint/blueprintAssignments/operations,null,No
no,Microsoft.Blueprint/blueprintAssignments/assignmentOperations,null,No
no,Microsoft.Blueprint/operations,null,No
no,Microsoft.ManagedIdentity/Identities,null,No
no,Microsoft.ManagedIdentity/userAssignedIdentities,null,No
no,Microsoft.ManagedIdentity/operations,null,No
no,Microsoft.ManagedIdentity/userAssignedIdentities/federatedIdentityCredentials,null,No
yes,Microsoft.Network/virtualNetworkGateways,Virtual Network Gateways,Yes
yes,Microsoft.Network/localNetworkGateways,Local Network Gateways,No
yes,Microsoft.Network/connections,Connections,Yes
yes,Microsoft.Network/applicationGateways,Application Gateway,Yes
yes,Microsoft.Network/expressRouteCircuits,Expressroute Circuits,Yes
no,Microsoft.Network/expressRouteServiceProviders,null,No
no,Microsoft.Network/applicationGatewayAvailableWafRuleSets,null,No
no,Microsoft.Network/applicationGatewayAvailableSslOptions,null,No
no,Microsoft.Network/applicationGatewayAvailableServerVariables,null,No
no,Microsoft.Network/applicationGatewayAvailableRequestHeaders,null,No
no,Microsoft.Network/applicationGatewayAvailableResponseHeaders,null,No
no,Microsoft.Network/routeFilters,null,No
no,Microsoft.Network/bgpServiceCommunities,null,No
yes,Microsoft.Network/vpnSites,VPN Sites,No
yes,Microsoft.Network/vpnServerConfigurations,VPN Server Configurations,No
yes,Microsoft.Network/virtualHubs,Virtual Hubs,No
yes,Microsoft.Network/vpnGateways,VPN Gateways,No
yes,Microsoft.Network/p2sVpnGateways,P2S Gateways,No
yes,Microsoft.Network/expressRouteGateways,ExpressRoute Gateways,No
no,Microsoft.Network/expressRoutePortsLocations,null,No
yes,Microsoft.Network/expressRoutePorts,Expressroute Direct,Yes
no,Microsoft.Network/securityPartnerProviders,null,No
yes,Microsoft.Network/azureFirewalls,Firewall,Yes
no,Microsoft.Network/azureFirewallFqdnTags,null,No
yes,Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies,Application Gateway Web Application Firewall Policy,Yes
no,Microsoft.Network/locations/ApplicationGatewayWafDynamicManifests,null,No
yes,Microsoft.Network/virtualWans,Virtual WANs,No
no,Microsoft.Network/bastionHosts,null,No
no,Microsoft.Network/queryExpressRoutePortsBandwidth,null,No
yes,Microsoft.Network/trafficmanagerprofiles,Traffic Manager,Yes
no,Microsoft.Network/trafficmanagerprofiles/heatMaps,null,No
no,Microsoft.Network/trafficmanagerprofiles/azureendpoints,null,No
no,Microsoft.Network/trafficmanagerprofiles/externalendpoints,null,No
no,Microsoft.Network/trafficmanagerprofiles/nestedendpoints,null,No
no,Microsoft.Network/checkTrafficManagerNameAvailability,null,No
no,Microsoft.Network/checkTrafficManagerNameAvailabilityV2,null,No
no,Microsoft.Network/trafficManagerUserMetricsKeys,null,No
no,Microsoft.Network/trafficManagerGeographicHierarchies,null,No
yes,Microsoft.Network/expressRouteProviderPorts,ExpressRoute Provider Ports,No
no,Microsoft.Network/locations/hybridEdgeZone,null,No
yes,Microsoft.Network/firewallPolicies,Firewall Policies,Yes
no,Microsoft.Network/ipGroups,null,No
no,Microsoft.Network/azureWebCategories,null,No
no,Microsoft.Network/locations/nfvOperations,null,No
no,Microsoft.Network/locations/nfvOperationResults,null,No
yes,Microsoft.Network/virtualRouters,Virtual Routers,No
no,Microsoft.Network/networkVirtualAppliances,null,No
no,Microsoft.Network/networkVirtualApplianceSkus,null,No
no,Microsoft.Network/frontdoorOperationResults,null,No
no,Microsoft.Network/checkFrontdoorNameAvailability,null,No
yes,Microsoft.Network/frontdoors,Front door,Yes
no,Microsoft.Network/frontdoors/frontendEndpoints,null,No
no,Microsoft.Network/frontdoors/frontendEndpoints/customHttpsConfiguration,null,No
yes,Microsoft.Network/frontdoorWebApplicationFirewallPolicies,Web Application Firewall,Yes
no,Microsoft.Network/frontdoorWebApplicationFirewallManagedRuleSets,null,No
no,Microsoft.Network/networkExperimentProfiles,null,No
yes,Microsoft.Network/dnsResolvers,DNS Resolvers,No
no,Microsoft.Network/dnsResolvers/inboundEndpoints,null,No
no,Microsoft.Network/dnsResolvers/outboundEndpoints,null,No
no,Microsoft.Network/dnsForwardingRulesets,DNS Forwarding Rule Sets,No
no,Microsoft.Network/dnsForwardingRulesets/forwardingRules,null,No
no,Microsoft.Network/dnsForwardingRulesets/virtualNetworkLinks,null,No
no,Microsoft.Network/virtualNetworks/listDnsResolvers,null,No
no,Microsoft.Network/virtualNetworks/listDnsForwardingRulesets,null,No
no,Microsoft.Network/locations/dnsResolverOperationResults,null,No
no,Microsoft.Network/locations/dnsResolverOperationStatuses,null,No
no,Microsoft.Network/locations/dnsResolverPolicyOperationResults,null,No
no,Microsoft.Network/locations/dnsResolverPolicyOperationStatuses,null,No
yes,Microsoft.Network/networkManagers,Network Managers,No
no,Microsoft.Network/networkManagerConnections,null,No
no,Microsoft.Network/networkSecurityPerimeters,null,No
no,Microsoft.Network/locations/perimeterAssociableResourceTypes,null,No
no,Microsoft.Network/locations/queryNetworkSecurityPerimeter,null,No
no,Microsoft.Network/virtualNetworks/listNetworkManagerEffectiveConnectivityConfigurations,null,No
no,Microsoft.Network/virtualNetworks/listNetworkManagerEffectiveSecurityAdminRules,null,No
no,Microsoft.Network/networkGroupMemberships,null,No
no,Microsoft.Network/locations/commitInternalAzureNetworkManagerConfiguration,null,No
no,Microsoft.Network/locations/internalAzureVirtualNetworkManagerOperation,null,No
yes,Microsoft.Network/privateDnsZones,Private Dns Zones,Yes
no,Microsoft.Network/privateDnsZones/virtualNetworkLinks,null,No
no,Microsoft.Network/privateDnsOperationResults,null,No
no,Microsoft.Network/privateDnsOperationStatuses,null,No
no,Microsoft.Network/privateDnsZonesInternal,null,No
no,Microsoft.Network/privateDnsZones/A,null,No
no,Microsoft.Network/privateDnsZones/AAAA,null,No
no,Microsoft.Network/privateDnsZones/CNAME,null,No
no,Microsoft.Network/privateDnsZones/PTR,null,No
no,Microsoft.Network/privateDnsZones/MX,null,No
no,Microsoft.Network/privateDnsZones/TXT,null,No
no,Microsoft.Network/privateDnsZones/SRV,null,No
no,Microsoft.Network/privateDnsZones/SOA,null,No
no,Microsoft.Network/privateDnsZones/all,null,No
no,Microsoft.Network/virtualNetworks/privateDnsZoneLinks,null,No
yes,Microsoft.Network/dnszones,DNS Zones,No
no,Microsoft.Network/dnsOperationResults,null,No
no,Microsoft.Network/dnsOperationStatuses,null,No
no,Microsoft.Network/getDnsResourceReference,null,No
no,Microsoft.Network/internalNotify,null,No
no,Microsoft.Network/dnszones/A,null,No
no,Microsoft.Network/dnszones/AAAA,null,No
no,Microsoft.Network/dnszones/CNAME,null,No
no,Microsoft.Network/dnszones/PTR,null,No
no,Microsoft.Network/dnszones/MX,null,No
no,Microsoft.Network/dnszones/TXT,null,No
no,Microsoft.Network/dnszones/SRV,null,No
no,Microsoft.Network/dnszones/SOA,null,No
no,Microsoft.Network/dnszones/NS,null,No
no,Microsoft.Network/dnszones/CAA,null,No
no,Microsoft.Network/dnszones/DS,null,No
no,Microsoft.Network/dnszones/TLSA,null,No
no,Microsoft.Network/dnszones/NAPTR,null,No
no,Microsoft.Network/dnszones/recordsets,null,No
no,Microsoft.Network/dnszones/all,null,No
no,Microsoft.Network/dnszones/dnssecConfigs,null,No
yes,Microsoft.Network/virtualNetworks,Virtual Networks,Yes
no,Microsoft.Network/virtualNetworks/taggedTrafficConsumers,null,No
yes,Microsoft.Network/natGateways,NAT Gateways,Yes
yes,Microsoft.Network/publicIPAddresses,Public Ip,Yes
no,Microsoft.Network/internalPublicIpAddresses,null,No
no,Microsoft.Network/customIpPrefixes,null,No
no,Microsoft.Network/networkInterfaces,null,No
no,Microsoft.Network/dscpConfigurations,null,No
yes,Microsoft.Network/privateEndpoints,Private Endpoints,Yes
no,Microsoft.Network/privateEndpoints/privateLinkServiceProxies,null,No
no,Microsoft.Network/privateEndpointRedirectMaps,null,No
yes,Microsoft.Network/loadBalancers,Load Balancer,Yes
yes,Microsoft.Network/networkSecurityGroups,Network Security Group,Yes
yes,Microsoft.Network/applicationSecurityGroups,Application Security Group,No
no,Microsoft.Network/serviceEndpointPolicies,null,No
no,Microsoft.Network/networkIntentPolicies,null,No
yes,Microsoft.Network/routeTables,Route Table,Yes
yes,Microsoft.Network/publicIPPrefixes,Public IP Prefixes,No
yes,Microsoft.Network/networkWatchers,Network Watcher,Yes
no,Microsoft.Network/networkWatchers/connectionMonitors,null,No
yes,Microsoft.Network/networkWatchers/flowLogs,Flow Log,Yes
no,Microsoft.Network/networkWatchers/pingMeshes,null,No
no,Microsoft.Network/locations,null,No
no,Microsoft.Network/locations/operations,null,No
no,Microsoft.Network/locations/operationResults,null,No
no,Microsoft.Network/locations/CheckDnsNameAvailability,null,No
no,Microsoft.Network/locations/setLoadBalancerFrontendPublicIpAddresses,null,No
no,Microsoft.Network/cloudServiceSlots,null,No
no,Microsoft.Network/locations/usages,null,No
no,Microsoft.Network/locations/virtualNetworkAvailableEndpointServices,null,No
no,Microsoft.Network/locations/availableDelegations,null,No
no,Microsoft.Network/locations/serviceTags,null,No
no,Microsoft.Network/locations/availablePrivateEndpointTypes,null,No
no,Microsoft.Network/locations/availableServiceAliases,null,No
no,Microsoft.Network/locations/checkPrivateLinkServiceVisibility,null,No
no,Microsoft.Network/locations/autoApprovedPrivateLinkServices,null,No
no,Microsoft.Network/locations/batchValidatePrivateEndpointsForResourceMove,null,No
no,Microsoft.Network/locations/batchNotifyPrivateEndpointsForResourceMove,null,No
no,Microsoft.Network/locations/supportedVirtualMachineSizes,null,No
no,Microsoft.Network/locations/setAzureNetworkManagerConfiguration,null,No
no,Microsoft.Network/locations/publishResources,null,No
no,Microsoft.Network/locations/getAzureNetworkManagerConfiguration,null,No
no,Microsoft.Network/locations/checkAcceleratedNetworkingSupport,null,No
no,Microsoft.Network/locations/validateResourceOwnership,null,No
no,Microsoft.Network/locations/setResourceOwnership,null,No
no,Microsoft.Network/locations/effectiveResourceOwnership,null,No
no,Microsoft.Network/operations,null,No
no,Microsoft.Network/virtualNetworkTaps,null,No
yes,Microsoft.Network/privateLinkServices,Private Link Services,No
no,Microsoft.Network/locations/privateLinkServices,null,No
yes,Microsoft.Network/ddosProtectionPlans,Ddos Protection Plans,Yes
no,Microsoft.Network/networkProfiles,null,No
no,Microsoft.Network/locations/bareMetalTenants,null,No
no,Microsoft.Network/ipAllocations,null,No
no,Microsoft.Network/locations/serviceTagDetails,null,No
no,Microsoft.Network/locations/dataTasks,null,No
no,Microsoft.Network/locations/startPacketTagging,null,No
no,Microsoft.Network/locations/deletePacketTagging,null,No
no,Microsoft.Network/locations/getPacketTagging,null,No
no,Microsoft.Network/locations/rnmEffectiveRouteTable,null,No
no,Microsoft.Network/locations/rnmEffectiveNetworkSecurityGroups,null,No
no,Microsoft.PolicyInsights/policyEvents,null,No
no,Microsoft.PolicyInsights/policyStates,null,No
no,Microsoft.PolicyInsights/componentPolicyStates,null,No
no,Microsoft.PolicyInsights/operations,null,No
no,Microsoft.PolicyInsights/asyncOperationResults,null,No
no,Microsoft.PolicyInsights/remediations,null,No
no,Microsoft.PolicyInsights/attestations,null,No
no,Microsoft.PolicyInsights/eventGridFilters,null,No
no,Microsoft.PolicyInsights/checkPolicyRestrictions,null,No
no,Microsoft.PolicyInsights/policyTrackedResources,null,No
no,Microsoft.PolicyInsights/policyMetadata,null,No
no,Microsoft.Storage/storageAccounts/storageTaskAssignments,null,No
no,Microsoft.Storage/storageAccounts/encryptionScopes,null,No
no,Microsoft.Storage/deletedAccounts,null,No
no,Microsoft.Storage/locations/deletedAccounts,null,No
yes,Microsoft.Storage/storageAccounts,Storage Account,Yes
no,Microsoft.Storage/storageTasks,null,No
no,Microsoft.Storage/operations,null,No
no,Microsoft.Storage/locations/asyncoperations,null,No
no,Microsoft.Storage/storageAccounts/listAccountSas,null,No
no,Microsoft.Storage/storageAccounts/listServiceSas,null,No
no,Microsoft.Storage/storageAccounts/blobServices,null,No
no,Microsoft.Storage/storageAccounts/tableServices,null,No
no,Microsoft.Storage/storageAccounts/queueServices,null,No
no,Microsoft.Storage/storageAccounts/fileServices,null,No
no,Microsoft.Storage/locations,null,No
no,Microsoft.Storage/locations/usages,null,No
no,Microsoft.Storage/locations/deleteVirtualNetworkOrSubnets,null,No
no,Microsoft.Storage/usages,null,No
no,Microsoft.Storage/checkNameAvailability,null,No
no,Microsoft.Storage/locations/checkNameAvailability,null,No
no,Microsoft.Storage/storageAccounts/services,null,No
no,Microsoft.Storage/storageAccounts/services/metricDefinitions,null,No
no,Microsoft.Storage/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null,No
yes,Microsoft.KeyVault/vaults,Key Vault,Yes
no,Microsoft.KeyVault/vaults/secrets,null,No
no,Microsoft.KeyVault/vaults/accessPolicies,null,No
no,Microsoft.KeyVault/operations,null,No
no,Microsoft.KeyVault/checkNameAvailability,null,No
no,Microsoft.KeyVault/deletedVaults,null,No
no,Microsoft.KeyVault/locations,null,No
no,Microsoft.KeyVault/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null,No
no,Microsoft.KeyVault/locations/deletedVaults,null,No
no,Microsoft.KeyVault/locations/deleteVirtualNetworkOrSubnets,null,No
no,Microsoft.KeyVault/locations/operationResults,null,No
no,Microsoft.KeyVault/vaults/eventGridFilters,null,No
yes,Microsoft.KeyVault/managedHSMs,Managed HSM Service,Yes
no,Microsoft.KeyVault/deletedManagedHSMs,null,No
no,Microsoft.KeyVault/locations/deletedManagedHSMs,null,No
no,Microsoft.KeyVault/locations/managedHsmOperationResults,null,No
no,Microsoft.KeyVault/managedHSMs/keys,null,No
no,Microsoft.KeyVault/managedHSMs/keys/versions,null,No
no,Microsoft.KeyVault/checkMhsmNameAvailability,null,No
no,Microsoft.KeyVault/vaults/keys,null,No
no,Microsoft.KeyVault/vaults/keys/versions,null,No
no,Microsoft.Sql/operations,null,No
no,Microsoft.Sql/locations,null,No
no,Microsoft.Sql/locations/capabilities,null,No
no,Microsoft.Sql/locations/databaseAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/databaseOperationResults,null,No
no,Microsoft.Sql/locations/databaseEncryptionProtectorRevalidateAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/databaseEncryptionProtectorRevalidateOperationResults,null,No
no,Microsoft.Sql/locations/databaseEncryptionProtectorRevertAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/databaseEncryptionProtectorRevertOperationResults,null,No
no,Microsoft.Sql/locations/serverKeyAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/serverKeyOperationResults,null,No
no,Microsoft.Sql/servers/keys,null,No
no,Microsoft.Sql/servers/encryptionProtector,null,No
no,Microsoft.Sql/locations/encryptionProtectorOperationResults,null,No
no,Microsoft.Sql/locations/encryptionProtectorAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/externalPolicyBasedAuthorizationsAzureAsycOperation,null,No
no,Microsoft.Sql/locations/externalPolicyBasedAuthorizationsOperationResults,null,No
no,Microsoft.Sql/locations/refreshExternalGovernanceStatusOperationResults,null,No
no,Microsoft.Sql/locations/refreshExternalGovernanceStatusAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/refreshExternalGovernanceStatusMIOperationResults,null,No
no,Microsoft.Sql/locations/refreshExternalGovernanceStatusMIAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/managedInstanceKeyAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/managedInstanceKeyOperationResults,null,No
no,Microsoft.Sql/locations/managedInstanceEncryptionProtectorOperationResults,null,No
no,Microsoft.Sql/locations/managedInstanceEncryptionProtectorAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/transparentDataEncryptionAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/transparentDataEncryptionOperationResults,null,No
no,Microsoft.Sql/locations/managedtransparentDataEncryptionAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/managedtransparentDataEncryptionOperationResults,null,No
no,Microsoft.Sql/servers/tdeCertificates,null,No
no,Microsoft.Sql/locations/tdeCertAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/tdeCertOperationResults,null,No
no,Microsoft.Sql/locations/serverAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/serverOperationResults,null,No
no,Microsoft.Sql/locations/usages,null,No
no,Microsoft.Sql/checkNameAvailability,null,No
yes,Microsoft.Sql/servers,Sqldb,Yes
no,Microsoft.Sql/servers/databases,SQL database,No
no,Microsoft.Sql/servers/serviceObjectives,null,No
no,Microsoft.Sql/servers/communicationLinks,null,No
no,Microsoft.Sql/servers/administrators,null,No
no,Microsoft.Sql/servers/administratorOperationResults,null,No
no,Microsoft.Sql/locations/serverAdministratorAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/serverAdministratorOperationResults,null,No
no,Microsoft.Sql/servers/restorableDroppedDatabases,null,No
no,Microsoft.Sql/servers/recoverableDatabases,null,No
no,Microsoft.Sql/servers/databases/geoBackupPolicies,null,No
no,Microsoft.Sql/servers/import,null,No
no,Microsoft.Sql/servers/importExportOperationResults,null,No
no,Microsoft.Sql/servers/operationResults,null,No
no,Microsoft.Sql/servers/databases/backupLongTermRetentionPolicies,null,No
no,Microsoft.Sql/servers/databases/backupShortTermRetentionPolicies,null,No
no,Microsoft.Sql/servers/databaseSecurityPolicies,null,No
no,Microsoft.Sql/servers/automaticTuning,null,No
no,Microsoft.Sql/servers/databases/automaticTuning,null,No
no,Microsoft.Sql/servers/databases/transparentDataEncryption,null,No
no,Microsoft.Sql/servers/databases/ledgerDigestUploads,null,No
no,Microsoft.Sql/locations/ledgerDigestUploadsAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/ledgerDigestUploadsOperationResults,null,No
no,Microsoft.Sql/servers/recommendedElasticPools,null,No
no,Microsoft.Sql/servers/databases/dataMaskingPolicies,null,No
no,Microsoft.Sql/servers/databases/dataMaskingPolicies/rules,null,No
no,Microsoft.Sql/servers/databases/securityAlertPolicies,null,No
no,Microsoft.Sql/servers/securityAlertPolicies,null,No
no,Microsoft.Sql/servers/databases/advancedThreatProtectionSettings,null,No
no,Microsoft.Sql/servers/advancedThreatProtectionSettings,null,No
no,Microsoft.Sql/managedInstances/databases/advancedThreatProtectionSettings,null,No
no,Microsoft.Sql/managedInstances/advancedThreatProtectionSettings,null,No
no,Microsoft.Sql/servers/databases/auditingSettings,null,No
no,Microsoft.Sql/servers/auditingSettings,null,No
no,Microsoft.Sql/servers/extendedAuditingSettings,null,No
no,Microsoft.Sql/servers/devOpsAuditingSettings,null,No
no,Microsoft.Sql/locations/auditingSettingsAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/auditingSettingsOperationResults,null,No
no,Microsoft.Sql/locations/extendedAuditingSettingsAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/extendedAuditingSettingsOperationResults,null,No
no,Microsoft.Sql/locations/devOpsAuditingSettingsOperationResults,null,No
no,Microsoft.Sql/locations/devOpsAuditingSettingsAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/elasticPoolAzureAsyncOperation,null,No
no,Microsoft.Sql/locations/elasticPoolOperationResults,null,No
no,Microsoft.Sql/servers/elasticpools,null,No
no,Microsoft.Sql/servers/jobAccounts,null,No
